127.0.0.1 - - [25/Apr/2025:16:36:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/images/icon-bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 200 729560
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:27 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:44 +0700] "GET /DoAnWebCinema/lienhe.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:44 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:44 +0700] "GET /DoAnWebCinema/css/login.css HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:45 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:46 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:47 +0700] "GET /DoAnWebCinema/lienhe.htm HTTP/1.1" 200 12841
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:47 +0700] "GET /DoAnWebCinema/images/facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:47 +0700] "GET /DoAnWebCinema/images/instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:47 +0700] "GET /DoAnWebCinema/images/bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:47 +0700] "GET /DoAnWebCinema/images/youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:47 +0700] "GET /DoAnWebCinema/images/tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:47 +0700] "GET /DoAnWebCinema/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 80137
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/tranthanh.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/vungocdang.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:36:49 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 80137
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/tranthanh.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/vungocdang.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:24 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:26 +0700] "GET /DoAnWebCinema/datve/2025-04-25.htm?chinhanh=1 HTTP/1.1" 200 22035
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 80137
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/vungocdang.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/tranthanh.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:28 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/customer/account.htm HTTP/1.1" 200 32109
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/fonts/fontawesome-pro-6.1.1-web/css/all.min.css HTTP/1.1" 200 498165
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/main.css HTTP/1.1" 200 201690
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/account.css HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/uploads/DSC06446.JPG HTTP/1.1" 200 7770925
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/alertify.min.css HTTP/1.1" 200 21417
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/vendors/uicons-regular-straight.css HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/vendors/normalize.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/vendors/bootstrap.min.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/vendors/evara-font.css HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/plugins/select2.min.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/plugins/slick.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/plugins/jquery-ui.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/plugins/magnific-popup.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/evara-font.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/normalize.css HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/plugins/perfect-scrollbar.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/css/uicons-regular-straight.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/vendor/jquery-3.6.0.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/vendor/jquery-migrate-3.3.0.min.js HTTP/1.1" 200 11018
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/vendor/bootstrap.bundle.min.js HTTP/1.1" 200 146120
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/slick.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/jquery.syotimer.min.js HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/jquery-ui.js HTTP/1.1" 200 253687
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/select2.min.js HTTP/1.1" 200 68060
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/wow.js HTTP/1.1" 200 8456
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/waypoints.js HTTP/1.1" 200 9040
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/fonts/fontawesome-pro-6.1.1-web/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 388900
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/fonts/fontawesome-pro-6.1.1-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 329204
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/magnific-popup.js HTTP/1.1" 200 20228
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/perfect-scrollbar.js HTTP/1.1" 200 39764
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/fonts/fontawesome-pro-6.1.1-web/webfonts/fa-light-300.woff2 HTTP/1.1" 200 424536
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/counterup.js HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/jquery.countdown.min.js HTTP/1.1" 200 5360
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/scrollup.js HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/jquery.elevatezoom.js HTTP/1.1" 200 60659
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/account.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/images-loaded.js HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/shop.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/inputNumber.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/quickView.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/showMessage.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/jquery.vticker-min.js HTTP/1.1" 200 3904
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/isotope.js HTTP/1.1" 200 34874
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/plugins/jquery.theia.sticky.js HTTP/1.1" 200 16695
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:30 +0700] "GET /DoAnWebCinema/js/alertify.min.js HTTP/1.1" 200 36980
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:32 +0700] "GET /DoAnWebCinema/login/logout.htm HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/admin/profile.htm HTTP/1.1" 200 25008
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/style.min.css HTTP/1.1" 200 245270
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/images/user.gif HTTP/1.1" 200 5166575
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/chartist.min.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/fix-test.css HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/employee.css HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/chartist-plugin-tooltip.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/js/jquery.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/icons/themify-icons/themify-icons.css HTTP/1.1" 200 17504
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:39 +0700] "GET /DoAnWebCinema/css/icons/font-awesome/css/fontawesome-all.min.css HTTP/1.1" 200 36993
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/app-style-switcher.js HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/jquery.sparkline.min.js HTTP/1.1" 200 43251
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/waves.js HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/sidebarmenu.js HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/custom.js HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/chartist-plugin-tooltip.min.js HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/chartist.min.js HTTP/1.1" 200 40223
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/js/dashboard1.js HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/css/icons/font-awesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 12224
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/css/icons/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 44004
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:40 +0700] "GET /DoAnWebCinema/imgs/favicon.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:42 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:42 +0700] "GET /DoAnWebCinema/admin/dashboard.htm?month=4&year=2025 HTTP/1.1" 200 22624
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:42 +0700] "GET /DoAnWebCinema/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/admin/directors.htm HTTP/1.1" 200 91432
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/tranthanh.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/vungocdang.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/lyhai.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.jfif HTTP/1.1" 200 36728
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/vungocdang.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/lyhai.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/tranthanh.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:48 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:49 +0700] "GET /DoAnWebCinema/admin/directors.htm HTTP/1.1" 200 41006
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:52 +0700] "GET /DoAnWebCinema/admin/type.htm HTTP/1.1" 200 74238
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:55 +0700] "GET /DoAnWebCinema/admin/showtimes.htm HTTP/1.1" 200 37117
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:37:55 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:01 +0700] "GET /DoAnWebCinema/admin/room.htm HTTP/1.1" 200 39856
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:01 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:07 +0700] "GET /DoAnWebCinema/admin/order.htm?filter=today HTTP/1.1" 200 21666
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:07 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:07 +0700] "GET /DoAnWebCinema/css/add-test.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:07 +0700] "GET /imgs/favicon.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:09 +0700] "GET /DoAnWebCinema/admin/room.htm HTTP/1.1" 200 39856
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:09 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2025:16:38:12 +0700] "GET /DoAnWebCinema/admin/seat.htm HTTP/1.1" 200 41128
