127.0.0.1 - - [13/Jan/2025:22:18:30 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/anabell.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/quyantang.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/titanic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/joker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/IT.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 92900
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/gahedienloan.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/demtoirucro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/smile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/mai.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/matbiec.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/latmat7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/quatmotrungma.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/doraemon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2025:22:18:32 +0700] "GET /DoAnWebCinema/uploads/6.png HTTP/1.1" 304 -
