0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:35 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 92133
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:35 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:35 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:35 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:44 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:44 +0700] "GET /DoAnWebCinema/css/login.css HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:46 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:47 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:47 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 92027
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:47 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:47 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:56 +0700] "GET /DoAnWebCinema/datve/2024-11-26.htm?chinhanh=1 HTTP/1.1" 200 16200
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:26:58 +0700] "GET /DoAnWebCinema/datve/2024-11-26.htm?chinhanh=1 HTTP/1.1" 200 16200
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:27:00 +0700] "GET /DoAnWebCinema/datve/2024-11-27.htm?chinhanh=1 HTTP/1.1" 200 16200
0:0:0:0:0:0:0:1 - - [26/Nov/2024:23:56:31 +0700] "GET /DoAnWebCinema/datve/2024-11-27.htm?chinhanh=1 HTTP/1.1" 200 16200
