127.0.0.1 - - [17/Jan/2025:10:54:37 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 200 203218
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/quyantang.png HTTP/1.1" 200 685861
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/titanic.png HTTP/1.1" 200 725311
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 200 36899
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/anabell.png HTTP/1.1" 200 925487
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/joker.png HTTP/1.1" 200 650095
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 92562
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/IT.png HTTP/1.1" 200 360109
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/gahedienloan.png HTTP/1.1" 200 953602
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/demtoirucro.png HTTP/1.1" 200 1272816
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/matbiec.png HTTP/1.1" 200 626400
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/mai.png HTTP/1.1" 200 1031520
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/images/eventsale20%25.png HTTP/1.1" 200 254446
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/images/eventmangphimlenvungcao.png HTTP/1.1" 200 888898
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/smile.png HTTP/1.1" 200 1150994
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/images/posterdocchieudu.png HTTP/1.1" 200 3250156
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/quatmotrungma.png HTTP/1.1" 200 1039731
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/ditruyen.png HTTP/1.1" 200 809471
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/latmat7.png HTTP/1.1" 200 661976
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/doraemon.png HTTP/1.1" 200 1150290
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/1.png HTTP/1.1" 200 335497
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/2.png HTTP/1.1" 200 368321
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/3.png HTTP/1.1" 200 218554
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/4.png HTTP/1.1" 200 282671
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/5.png HTTP/1.1" 200 345234
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/uploads/6.png HTTP/1.1" 200 365319
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/images/icon-facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/images/icon-instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [17/Jan/2025:10:54:39 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
