127.0.0.1 - - [05/Jan/2025:13:43:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:31 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 200 203218
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 72694
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 200 36899
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/uploads/postergahedienloan.jpg HTTP/1.1" 200 157742
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/uploads/tamvedinhmenh.jpg HTTP/1.1" 200 120491
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/uploads/nhabanu.webp HTTP/1.1" 200 179208
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 200 398614
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 200 21402
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/eventsale20%25.png HTTP/1.1" 200 254446
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/posterdocchieudu.png HTTP/1.1" 200 3250156
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/eventmangphimlenvungcao.png HTTP/1.1" 200 888898
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/lyhai.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/huynhdong.webp HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/DamienLeone.jfif HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/JamesCameron.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/icon-facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/icon-instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/icon-bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 200 729560
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:43:32 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:50 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:50 +0700] "GET /DoAnWebCinema/css/login.css HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:51 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:52 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/admin/profile.htm HTTP/1.1" 200 25036
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/style.min.css HTTP/1.1" 200 245270
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/chartist.min.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/employee.css HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/fix-test.css HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/chartist-plugin-tooltip.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/images/user.gif HTTP/1.1" 200 5166575
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/jquery.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/alertify.min.css HTTP/1.1" 200 21417
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/icons/font-awesome/css/fontawesome-all.min.css HTTP/1.1" 200 36993
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/icons/themify-icons/themify-icons.css HTTP/1.1" 200 17504
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/app-style-switcher.js HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/jquery.sparkline.min.js HTTP/1.1" 200 43251
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/waves.js HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/sidebarmenu.js HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/custom.js HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/chartist.min.js HTTP/1.1" 200 40223
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/chartist-plugin-tooltip.min.js HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/dashboard1.js HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/js/alertify.min.js HTTP/1.1" 200 36980
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/icons/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 44004
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/css/icons/font-awesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 12224
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:53 +0700] "GET /DoAnWebCinema/imgs/favicon.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:57 +0700] "GET /DoAnWebCinema/admin/showtimes.htm HTTP/1.1" 200 35109
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:44:57 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:17 +0700] "GET /DoAnWebCinema/admin/actors.htm HTTP/1.1" 200 81012
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:17 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:17 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:17 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:17 +0700] "GET /DoAnWebCinema/admin/actors.htm HTTP/1.1" 200 57406
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:20 +0700] "GET /DoAnWebCinema/admin/showtimes.htm HTTP/1.1" 200 35109
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:20 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:35 +0700] "GET /DoAnWebCinema/admin/actors.htm HTTP/1.1" 200 81012
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:35 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:35 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:36 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:36 +0700] "GET /DoAnWebCinema/admin/actors.htm HTTP/1.1" 200 65606
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:38 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:38 +0700] "GET /DoAnWebCinema/admin/directors.htm HTTP/1.1" 200 41521
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:38 +0700] "GET /DoAnWebCinema/uploads/tranthanh.jpeg HTTP/1.1" 200 69695
0:0:0:0:0:0:0:1 - - [05/Jan/2025:13:50:38 +0700] "GET /DoAnWebCinema/uploads/lyhai.png HTTP/1.1" 200 844819
