127.0.0.1 - - [08/Jan/2025:13:58:45 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:58:50 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 71842
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:58:50 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:58:50 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:58:50 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:58:50 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:11 +0700] "GET /DoAnWebCinema/datve/2025-01-08.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:11 +0700] "GET /DoAnWebCinema/images/facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:11 +0700] "GET /DoAnWebCinema/images/instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:11 +0700] "GET /DoAnWebCinema/images/tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:11 +0700] "GET /DoAnWebCinema/images/youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:11 +0700] "GET /DoAnWebCinema/images/bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:11 +0700] "GET /DoAnWebCinema/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:13 +0700] "GET /DoAnWebCinema/datve/2025-01-09.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:13 +0700] "GET /DoAnWebCinema/datve/2025-01-10.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:14 +0700] "GET /DoAnWebCinema/datve/2025-01-11.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:15 +0700] "GET /DoAnWebCinema/datve/2025-01-12.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:16 +0700] "GET /DoAnWebCinema/datve/2025-01-13.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:16 +0700] "GET /DoAnWebCinema/datve/2025-01-14.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:17 +0700] "GET /DoAnWebCinema/datve/2025-01-09.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:18 +0700] "GET /DoAnWebCinema/datve/2025-01-08.htm?chinhanh=1 HTTP/1.1" 200 22320
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:19 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 71842
0:0:0:0:0:0:0:1 - - [08/Jan/2025:13:59:20 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:09 +0700] "GET /DoAnWebCinema/lienhe.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:09 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:09 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:11 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:11 +0700] "GET /DoAnWebCinema/admin/profile.htm HTTP/1.1" 200 25036
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:11 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:11 +0700] "GET /DoAnWebCinema/imgs/favicon.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:18 +0700] "GET /DoAnWebCinema HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:18 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 71842
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:18 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:18 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:18 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:18 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:20 +0700] "GET /DoAnWebCinema/lienhe.htm HTTP/1.1" 200 12940
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:25 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 71842
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:25 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:08:25 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:31 +0700] "GET /DoAnWebCinema/search.htm?search=qu%E1%BB%B7+%C4%83n+ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/home.htm HTTP/1.1" 200 7857
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/fonts/fontawesome-free-6.4.2-web/css/all.min.css HTTP/1.1" 200 102225
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/posterdanchoikhongsoconroi.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/nhabanu.webp HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/css/editanh.css HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/postergahedienloan.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/tamvedinhmenh.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/postertitanic.jfif HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:32 +0700] "GET /DoAnWebCinema/images/logo.svg HTTP/1.1" 200 15353
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:35 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 71842
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:35 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:36 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:36 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:36 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:50 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 71842
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:50 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:50 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:53 +0700] "GET /DoAnWebCinema/register.htm HTTP/1.1" 200 8594
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:53 +0700] "GET /DoAnWebCinema/css/register.css HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:17:57 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:01 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:01 +0700] "GET /DoAnWebCinema/admin/profile.htm HTTP/1.1" 200 25036
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:01 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:05 +0700] "GET /DoAnWebCinema/admin/showtimes.htm HTTP/1.1" 200 35109
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:05 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:09 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:09 +0700] "GET /DoAnWebCinema/admin/directors.htm HTTP/1.1" 200 41521
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:09 +0700] "GET /DoAnWebCinema/uploads/tranthanh.jpeg HTTP/1.1" 200 69695
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:09 +0700] "GET /DoAnWebCinema/uploads/lyhai.png HTTP/1.1" 200 844819
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:09 +0700] "GET /DoAnWebCinema/uploads/huynhdong.webp HTTP/1.1" 200 48254
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:09 +0700] "GET /DoAnWebCinema/uploads/JamesCameron.jpg HTTP/1.1" 200 86095
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:09 +0700] "GET /DoAnWebCinema/uploads/DamienLeone.jfif HTTP/1.1" 200 9462
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:10 +0700] "GET /DoAnWebCinema/admin/directors.htm HTTP/1.1" 200 41521
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:16 +0700] "GET /DoAnWebCinema/admin/customer.htm HTTP/1.1" 200 77280
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:16 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:16 +0700] "GET /DoAnWebCinemaimgs/favicon.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:18 +0700] "GET /DoAnWebCinema/admin/profile.htm HTTP/1.1" 200 25036
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:18 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:20 +0700] "GET /DoAnWebCinema/admin/password.htm HTTP/1.1" 200 21101
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:20 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:20 +0700] "GET /DoAnWebCinema/js/pages/dashboards/dashboard1.js HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:23 +0700] "GET /DoAnWebCinema/admin/dashboard.htm?month=1&year=2025 HTTP/1.1" 200 22638
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:23 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:23 +0700] "GET /DoAnWebCinema/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:27 +0700] "GET /DoAnWebCinema/admin/room.htm HTTP/1.1" 200 36157
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:27 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:30 +0700] "GET /DoAnWebCinema/admin/actors.htm HTTP/1.1" 200 81012
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:30 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:30 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Jan/2025:14:18:30 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
