127.0.0.1 - - [03/Dec/2024:15:57:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:09 +0700] "GET /DoAnWebCinema/css/chatbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:09 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:09 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:09 +0700] "GET /DoAnWebCinema/uploads/posterquyantang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:09 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 79446
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/uploads/posterconan.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/uploads/posterdoraemon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/uploads/postermatbiec.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/uploads/posterditruyen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/uploads/posterlatmat7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Dec/2024:15:57:10 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 304 -
