127.0.0.1 - - [12/Jan/2025:13:57:53 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 200 203218
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 200 36899
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/quyantang.png HTTP/1.1" 200 685861
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 200 21402
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 200 398614
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/posterditruyen.jpg HTTP/1.1" 200 120803
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/postergahedienloan.jpg HTTP/1.1" 200 157742
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 89981
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/posterjoker.jfif HTTP/1.1" 200 1365712
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/posterlatmat7.jpg HTTP/1.1" 200 96889
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/eventmangphimlenvungcao.png HTTP/1.1" 200 888898
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/posterdocchieudu.png HTTP/1.1" 200 3250156
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/anabell.png HTTP/1.1" 200 925487
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/eventsale20%25.png HTTP/1.1" 200 254446
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/conan.png HTTP/1.1" 200 1411153
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/daodien_vungocdang.webp HTTP/1.1" 200 132756
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/tranthanh.jpeg HTTP/1.1" 200 69695
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/JangJae-hyun.webp HTTP/1.1" 200 77112
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/huynhdong.webp HTTP/1.1" 200 48254
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/icon-facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/icon-instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/TaweewatWantha.jpg HTTP/1.1" 200 25814
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/icon-bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 200 729560
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/uploads/AaronToronto.jpg HTTP/1.1" 200 28887
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Jan/2025:13:57:54 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:05 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 89981
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:05 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:05 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:08 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:08 +0700] "GET /DoAnWebCinema/css/login.css HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:09 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:10 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/admin/profile.htm HTTP/1.1" 200 25022
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/css/style.min.css HTTP/1.1" 200 245270
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/css/chartist.min.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/images/user.gif HTTP/1.1" 200 5166575
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/css/chartist-plugin-tooltip.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/css/fix-test.css HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/css/employee.css HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [12/Jan/2025:14:11:11 +0700] "GET /DoAnWebCinema/js/jquery.min.js HTTP/1.1" 200 86929
