127.0.0.1 - - [14/Dec/2024:14:21:33 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posterquyantang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82188
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posterconan.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posterdoraemon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/postermatbiec.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posterditruyen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posterlatmat7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:35 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:49 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:49 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:52 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:52 +0700] "GET /DoAnWebCinema/admin/profile.htm HTTP/1.1" 200 25104
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:52 +0700] "GET /DoAnWebCinema/css/detail-test.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [14/Dec/2024:14:21:52 +0700] "GET /DoAnWebCinema/css/style.min.css HTTP/1.1" 200 245270
