127.0.0.1 - - [19/Dec/2024:00:05:43 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:47 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:47 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:47 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 82209
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:47 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:47 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:47 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:47 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:50 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:50 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:54 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:54 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:54 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:05:54 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:09 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:09 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:09 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:25 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:25 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:25 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Dec/2024:00:06:44 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
