127.0.0.1 - - [11/Jan/2025:18:37:46 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:37:48 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 93442
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:37:48 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:37:48 +0700] "GET /DoAnWebCinema/uploads/posterconan.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:37:48 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:37:48 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:37:48 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:42:19 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 93442
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:42:19 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:42:19 +0700] "GET /DoAnWebCinema/uploads/daodien.jfif HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:42:19 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 93442
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/uploads/posterquyantang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2025:18:43:22 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 200 21402
