127.0.0.1 - - [15/Apr/2025:14:11:35 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 200 203218
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 200 36899
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/ HTTP/1.1" 200 80234
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/uploads/posterquyantang.jpg HTTP/1.1" 200 100665
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 200 21402
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/uploads/posterditruyen.jpg HTTP/1.1" 200 120803
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 200 398614
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:36 +0700] "GET /DoAnWebCinema/uploads/postergahedienloan.jpg HTTP/1.1" 200 157742
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/posterjoker.jfif HTTP/1.1" 200 1365712
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/posterlatmat7.jpg HTTP/1.1" 200 96889
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/eventsale20%25.png HTTP/1.1" 200 254446
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/vungocdang.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/eventmangphimlenvungcao.png HTTP/1.1" 200 888898
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/posterdocchieudu.png HTTP/1.1" 200 3250156
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/tranthanh.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/icon-facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/icon-instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/icon-bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 200 729560
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:42 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:43 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:43 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:11:43 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:12:57 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:12:57 +0700] "GET /DoAnWebCinema/trangchu.htm;jsessionid=E056CBA2B8FDB47A58A191B6BFE24139 HTTP/1.1" 200 80137
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:20:22 +0700] "POST /DoAnWebCinema/register/insert.htm HTTP/1.1" 500 5231
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:22:06 +0700] "POST /DoAnWebCinema/register/insert.htm HTTP/1.1" 200 14950
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:28:00 +0700] "POST //DoAnWebCinema/login/logout.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:28:00 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:30:42 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:30:42 +0700] "GET /DoAnWebCinema//login/logout.htm HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:30:55 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:30:55 +0700] "GET /DoAnWebCinema//login/logout.htm HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:08 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:08 +0700] "GET /DoAnWebCinema/css/login.css HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:09 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 80137
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/vungocdang.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/vothanhhoa.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/tranthanh.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/posterannabelle.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/uploads/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:12 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:24 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:31:24 +0700] "GET /DoAnWebCinema/trangchu.htm;jsessionid=E3B94B66F55D2F35204D85997E5BE66D HTTP/1.1" 200 80137
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:43:30 +0700] "GET /DoAnWebCinema/search.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:14:43:30 +0700] "GET /DoAnWebCinema/film/detail/ma=13.htm HTTP/1.1" 200 16886
